Study_ID,time_of_followup_from_loading,implant_length,group,n,mean_mbl,sd_mbl
esposito-4mm-augmented,0,short,short_ungrafted_mandible,20,0.24,0.11
esposito-4mm-augmented,0,long,long_grafted_mandible,19,0.34,0.08
esposito-4mm-augmented,0,short,short_ungrafted_maxilla,19,0.27,0.09
esposito-4mm-augmented,0,long,long_grafted_maxilla,17,0.31,0.1
esposito-4mm-augmented,4,short,short_ungrafted_mandible,20,0.4,0.12
esposito-4mm-augmented,4,long,long_grafted_mandible,19,0.52,0.1
esposito-4mm-augmented,4,short,short_ungrafted_maxilla,19,0.47,0.12
esposito-4mm-augmented,4,long,long_grafted_maxilla,17,0.5,0.13
esposito-4mm-augmented,12,short,short_ungrafted_mandible,20,0.51,0.16
esposito-4mm-augmented,12,long,long_grafted_mandible,18,0.77,0.21
esposito-4mm-augmented,12,short,short_ungrafted_maxilla,19,0.63,0.15
esposito-4mm-augmented,12,long,long_grafted_maxilla,16,0.72,0.25
esposito-4mm-augmented,36,short,short_ungrafted_mandible,17,0.62,0.58
esposito-4mm-augmented,36,long,long_grafted_mandible,15,0.71,0.13
esposito-4mm-augmented,36,short,short_ungrafted_maxilla,15,1.14,0.22
esposito-4mm-augmented,36,long,long_grafted_maxilla,17,0.73,0.78
W3152386461,6,short,short_ungrafted_maxilla,12,0.01,0.11
W3152386461,12,short,short_ungrafted_maxilla,12,0.04,0.13
W3152386461,18,short,short_ungrafted_maxilla,12,0.17,0.29
W3152386461,24,short,short_ungrafted_maxilla,12,0.28,0.37
W3152386461,6,long,long_ungrafted_maxilla,10,0.21,0.33
W3152386461,12,long,long_ungrafted_maxilla,10,0.3,0.32
W3152386461,18,long,long_ungrafted_maxilla,10,0.4,0.37
W3152386461,24,long,long_ungrafted_maxilla,10,0.54,0.49
W3003957245,0,long,long_ungrafted_maxilla,11,1.04,0.78
W3003957245,12,long,long_ungrafted_maxilla,11,1.27,0.85
W3003957245,24,long,long_ungrafted_maxilla,11,0.87,0.41
W3003957245,0,short,short_ungrafted_maxilla,11,0.89,0.88
W3003957245,12,short,short_ungrafted_maxilla,11,1.37,1.01
W3003957245,24,short,short_ungrafted_maxilla,11,1.14,0.95
felice-4x4,0,short,short_ungrafted_mixed,74,0.298,0.506
felice-4x4,0,long,long_ungrafted_mixed,73,0.255,0.16
felice-4x4,4,short,short_ungrafted_mixed,74,0.399,0.264
felice-4x4,4,long,long_ungrafted_mixed,73,0.434,0.245
felice-4x4,12,short,short_ungrafted_mixed,75,0.55,0.257
felice-4x4,12,long,long_ungrafted_mixed,73,0.616,0.262
felice-4x4,36,short,short_ungrafted_mixed,72,0.58,0.26
felice-4x4,36,long,long_ungrafted_mixed,69,0.66,0.3
2,0,short,short_ungrafted_mandible,20,0.59,0.05
2,0,long,long_grafted_mandible,19,0.55,0.05
2,0,short,short_ungrafted_maxilla,20,0.47,0.05
2,0,long,long_grafted_maxilla,20,0.57,0.04
2,12,short,short_ungrafted_mandible,19,1.05,0.06
2,12,long,long_grafted_mandible,18,1.07,0.06
2,12,short,short_ungrafted_maxilla,20,1.02,0.06
2,12,long,long_grafted_maxilla,20,1.09,0.05
2,36,short,short_ungrafted_mandible,15,1.25,0.35
2,36,long,long_grafted_mandible,14,1.54,0.14
2,36,short,short_ungrafted_maxilla,18,1.28,0.37
2,36,long,long_grafted_maxilla,18,1.5,0.37
2,60,short,short_ungrafted_mandible,12,1.34,0.35
2,60,long,long_grafted_mandible,12,2.11,0.59
2,60,short,short_ungrafted_maxilla,16,1.52,0.47
2,60,long,long_grafted_maxilla,16,1.85,0.51
cannizzaro-crossarch,12,short,short_ungrafted_mandible,15,0.08,0.03
cannizzaro-crossarch,12,long,long_ungrafted_mandible,15,0.51,0.1
cannizzaro-crossarch,12,short,short_ungrafted_maxilla,15,0.15,0.04
cannizzaro-crossarch,12,long,long_ungrafted_maxilla,15,0.62,0.12
W2005148312,0,short,short_ungrafted_mixed,30,1.78,0.55
W2005148312,0,long,long_ungrafted_mixed,30,2.1,0.68
W2005148312,2,short,short_ungrafted_mixed,30,2.16,0.45
W2005148312,2,long,long_ungrafted_mixed,30,2.46,0.57
W2005148312,12,short,short_ungrafted_mixed,30,2.29,0.46
W2005148312,12,long,long_ungrafted_mixed,30,2.55,0.53
W2005148312,24,short,short_ungrafted_mixed,30,2.31,0.5
