study_id,report_pmid,arm,site,grafted,timepoint_months,n,mean_mbl,sd_mbl,nominal_length_mm,diameter_mm,platform_level,collar_height_mm,endosseous_length_mm,measured_from,flags
esposito-4mm-augmented,10.36130/CTD.02.2020.02,short,mandible,ungrafted,0,20,0.24,0.11,4.0,4.0/4.5,tissue,1.5,4,"periapical radiograph paralleling technique; apical margin of implant collar to first bone-to-implant contact, OsiriX calibrated to implant diameter",
esposito-4mm-augmented,10.36130/CTD.02.2020.02,long,mandible,grafted,0,19,0.34,0.08,10.0 (mixed 6.0-13.0; see quote),4.0/4.5,tissue,1.5,,"periapical radiograph paralleling technique; apical margin of implant collar to first bone-to-implant contact, OsiriX calibrated to implant diameter",
esposito-4mm-augmented,10.36130/CTD.02.2020.02,short,maxilla,ungrafted,0,19,0.27,0.09,4.0,4.0/4.5,tissue,1.5,4,"periapical radiograph paralleling technique; apical margin of implant collar to first bone-to-implant contact, OsiriX calibrated to implant diameter",
esposito-4mm-augmented,10.36130/CTD.02.2020.02,long,maxilla,grafted,0,17,0.31,0.10,11.5 (mixed 10.0-13.0; see quote),4.0/4.5,tissue,1.5,,"periapical radiograph paralleling technique; apical margin of implant collar to first bone-to-implant contact, OsiriX calibrated to implant diameter",
esposito-4mm-augmented,10.36130/CTD.02.2020.02,short,mandible,ungrafted,4,20,0.40,0.12,4.0,4.0/4.5,tissue,1.5,4,"periapical radiograph paralleling technique; apical margin of implant collar to first bone-to-implant contact, OsiriX calibrated to implant diameter",
esposito-4mm-augmented,10.36130/CTD.02.2020.02,long,mandible,grafted,4,19,0.52,0.10,10.0 (mixed 6.0-13.0; see quote),4.0/4.5,tissue,1.5,,"periapical radiograph paralleling technique; apical margin of implant collar to first bone-to-implant contact, OsiriX calibrated to implant diameter",
esposito-4mm-augmented,10.36130/CTD.02.2020.02,short,maxilla,ungrafted,4,19,0.47,0.12,4.0,4.0/4.5,tissue,1.5,4,"periapical radiograph paralleling technique; apical margin of implant collar to first bone-to-implant contact, OsiriX calibrated to implant diameter",
esposito-4mm-augmented,10.36130/CTD.02.2020.02,long,maxilla,grafted,4,17,0.50,0.13,11.5 (mixed 10.0-13.0; see quote),4.0/4.5,tissue,1.5,,"periapical radiograph paralleling technique; apical margin of implant collar to first bone-to-implant contact, OsiriX calibrated to implant diameter",
esposito-4mm-augmented,10.36130/CTD.02.2020.02,short,mandible,ungrafted,12,20,0.51,0.16,4.0,4.0/4.5,tissue,1.5,4,"periapical radiograph paralleling technique; apical margin of implant collar to first bone-to-implant contact, OsiriX calibrated to implant diameter",
esposito-4mm-augmented,10.36130/CTD.02.2020.02,long,mandible,grafted,12,18,0.77,0.21,10.0 (mixed 6.0-13.0; see quote),4.0/4.5,tissue,1.5,,"periapical radiograph paralleling technique; apical margin of implant collar to first bone-to-implant contact, OsiriX calibrated to implant diameter",
